Track_ID	Real_Labels	Hit_Top1	Hit_Top3	Hit_Top5	Top1_Pred	Top5_Full_Ranking
719852.mp3	retro, soft	NO	NO	NO	sport	sport (0.020) | groovy (0.020) | fun (0.019) | upbeat (0.019) | cool (0.019)
83260.mp3	ambiental	NO	NO	NO	dramatic	dramatic (0.021) | drama (0.021) | dark (0.020) | travel (0.020) | emotional (0.020)
1122449.mp3	emotional	NO	NO	SI	meditative	meditative (0.020) | motivational (0.019) | sad (0.019) | emotional (0.019) | drama (0.019)
1099784.mp3	energetic	NO	NO	NO	commercial	commercial (0.020) | motivational (0.020) | advertising (0.019) | sexy (0.019) | funny (0.019)
1079785.mp3	christmas	NO	NO	NO	funny	funny (0.020) | ballad (0.020) | happy (0.020) | fun (0.019) | sport (0.019)
889185.mp3	deep	NO	NO	SI	epic	epic (0.020) | dark (0.020) | heavy (0.019) | powerful (0.019) | deep (0.019)
665105.mp3	space	SI	SI	SI	space	space (0.021) | deep (0.021) | soundscape (0.020) | horror (0.020) | dark (0.019)
1407657.mp3	happy, melodic, upbeat	NO	NO	NO	dramatic	dramatic (0.020) | epic (0.020) | dark (0.020) | drama (0.019) | adventure (0.019)
541015.mp3	dark	NO	NO	NO	relaxing	relaxing (0.021) | ambiental (0.020) | calm (0.020) | nature (0.020) | soundscape (0.020)
1294621.mp3	party	NO	NO	NO	sport	sport (0.019) | fun (0.019) | cool (0.019) | fast (0.019) | action (0.019)
118068.mp3	melodic	NO	NO	NO	heavy	heavy (0.024) | dark (0.022) | powerful (0.021) | action (0.021) | epic (0.020)
110017.mp3	advertising	NO	NO	NO	ballad	ballad (0.020) | sport (0.019) | groovy (0.019) | upbeat (0.019) | fun (0.019)
620912.mp3	relaxing	NO	NO	NO	travel	travel (0.019) | upbeat (0.019) | inspiring (0.019) | uplifting (0.019) | hopeful (0.019)
1076593.mp3	movie	NO	NO	NO	inspiring	inspiring (0.020) | sexy (0.020) | corporate (0.019) | energetic (0.019) | powerful (0.019)
1087083.mp3	drama	NO	SI	SI	epic	epic (0.023) | drama (0.022) | dramatic (0.022) | powerful (0.020) | emotional (0.020)
1371535.mp3	energetic, fast, fun	SI	SI	SI	fast	fast (0.021) | corporate (0.021) | energetic (0.021) | action (0.020) | sport (0.020)
